Close,High,Low,Open,Volume
167.34149169921875,167.6187098522012,164.5593998092657,164.8861093338651,48251800
168.20281982421875,168.91567070440144,166.48009434590165,167.84639438412742,50558300
167.6186981201172,169.63843239437367,167.49987955768663,168.19293999888993,44838400
171.7769775390625,174.28185098854456,171.38095596804143,171.64826373021612,68169400
168.63848876953125,173.25221487057408,168.31176412042663,171.60869637165644,65934800
167.6186981201172,170.99483730573115,167.43058257791944,167.8959162536964,50383100
171.31163024902344,171.69775653757537,169.19288328746214,170.79679016186972,94214900
181.5588836669922,185.14292911827533,180.84603267784937,184.7963988764884,163224100
179.9054412841797,182.37070337959045,178.62824383792136,180.5390848280799,78569700
180.5885772705078,183.0637497391675,179.5193160584302,181.62815272879564,77305800
180.9252166748047,181.25194126160505,179.64801918938014,181.0341248704048,45057100
182.737060546875,182.82616313989396,180.30148392023486,180.74701199258516,48983000
181.4779510498047,183.50042466657956,180.56585391849484,183.3120539854214,50759500
184.68020629882812,185.4931713127623,183.03445892506747,183.84742393900163,72044800
185.82032775878906,186.68286641073877,184.69011878206607,185.89964252722956,52393600
188.0906524658203,189.01265820085425,185.76082862824447,186.29619948475903,70400000
188.20962524414062,189.45881387860598,188.03117836935675,188.83421956137332,52845200
188.23939514160156,189.17132485957902,187.55531842828847,187.88248620977504,41282900
189.39935302734375,190.2718004798306,187.3867877585141,187.70404687859929,44361300
190.6980743408203,191.07480055486454,189.28034753675723,189.44888573499304,42309400
189.2605438232422,191.16406816634918,188.63596455316463,190.6187885434668,34648500
185.2750701904297,189.35968258649532,185.02721720275102,189.3398501117122,51005900
188.34844970703125,188.94330296502375,186.4251079843019,187.1984232707908,36327000
188.3583526611328,191.34249703943843,187.47599667367734,189.86528785982966,52280100
188.65576171875,190.5989356775744,187.88246165547932,187.98160889548626,53068000
189.64718627929688,190.52954231443272,188.99286588586446,189.12173915319045,49889100
190.59893798828125,190.9161970579539,188.2790377703441,189.79589676882185,75158300
192.3636474609375,193.31540952983562,190.86662095571478,191.24334718637152,50080500
192.680908203125,193.64257895328527,191.37223723797064,192.96841099700254,47471400
194.18785095214844,195.20900403542353,193.19643901671662,193.72188613227584,54156800
192.8097686767578,194.8124248113502,192.50243342955554,194.0093836485974,41181800
195.1990966796875,195.24867030234284,192.47271383884646,192.97832848334124,53103900
191.4614715576172,195.60558138834554,190.49980075281104,195.20900753042525,97010200
205.37095642089844,205.3808802210458,191.96707924808354,191.98689659289002,172373300
211.2401580810547,218.3089152196564,205.1231328450552,205.58909768640683,198134300
212.40008544921875,214.88852380834695,209.782758705521,212.8957913864929,97862700
210.66513061523438,213.32210737882852,209.4853479747781,212.01345147179217,70122700
214.80923461914062,217.06965275202606,210.89316027395952,211.53757201804441,93728300
212.44964599609375,216.7523850703462,211.17073132176122,215.7213082393038,79943300
207.87924194335938,212.4000929584359,207.05638337080816,212.0927425591543,86172500
205.70806884765625,210.07027533194446,205.33132746963062,208.58315742215362,241805100
206.35247802734375,210.87331399723786,204.8157865138524,205.93608683303725,80727000
207.27447509765625,209.5646339662685,206.81841900726565,207.35377473031713,55549700
211.4185791015625,213.01475280094434,208.83099354238436,209.68360834691896,66213200
212.26132202148438,213.88723714823547,210.52635096614495,212.84625148948237,49772700
208.81117248535156,214.21437951883613,208.4939285392998,213.91695291908772,82542700
214.8885498046875,215.64201747450758,210.10002805599396,210.26856627972688,60402900
218.37831115722656,218.4873670751859,213.25271326862932,214.2936836981781,58046200
219.64732360839844,219.64732360839844,217.1489612238199,218.11063203893852,37369800
224.39617919921875,224.50523511983306,219.74645469045154,219.74645469045154,60412400
225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900
226.716064453125,227.42988222637766,224.4259054004998,225.9725055332989,48076100
230.97914123535156,231.07828847688273,227.28117906796422,227.3307526887298,62627700
225.61563110351562,230.39422897123262,223.83108651749725,229.40281699319425,64710600
228.56008911132812,230.64206011910093,226.71606240173486,226.9540066999144,53046500
232.38694763183594,235.1926451763578,231.08820043911544,234.44908623752588,62631300
232.80335998535156,234.24090427881208,230.33473879844306,232.98180687397965,43234300
226.9143829345703,229.47222770464353,224.6936146131452,227.4794799069808,57345900
222.25469970703125,228.46094752609622,220.36111458394757,228.30231800055432,66034600
222.38363647460938,224.85225794685087,221.36248326433122,222.88926630632307,49151500
222.03665161132812,225.8238378140571,221.17411283226946,225.06044629209634,48201800
223.0775909423828,224.9910238167192,220.76759935066607,222.44308791792702,39960300
216.6631622314453,222.86941075843336,215.26528287042115,222.07627816799848,61777600
215.62217712402344,218.95332167523742,212.77681471652627,217.0497975364767,51391200
216.08815002441406,217.6050090608147,214.15488466672127,216.8217851678197,41601300
216.36573791503906,217.41663210574902,213.89711684474761,215.0967318967012,36311800
216.92092895507812,218.43778796730905,214.2639371695869,217.3075789949067,41643800
220.17276000976562,221.89782218872546,218.7352157578384,219.53825698895486,50036300
216.48471069335938,222.55214689360594,215.15622233135366,222.44309097566543,62501000
217.97181701660156,223.6625266661827,215.8402875210575,217.26790792406092,105568600
207.4727783203125,211.66644653820467,194.31673780556494,197.38019703112641,119548600
205.45030212402344,208.18660889381388,199.3432157724579,203.53688424769564,69660500
208.01806640625,211.80525225793107,204.61751548926864,205.12313014700663,63516400
211.47805786132812,212.36041379670297,207.03653703937619,211.27977851822874,47161100
214.38291931152344,214.91827509282652,210.1495861717322,210.2784745623819,42201600
215.91146850585938,217.8767320905019,213.9958359256548,214.4623401059105,38028100
219.62364196777344,220.23902400333975,217.38044783379533,217.38044783379533,44155300
220.07029724121094,221.37054778476931,218.06532277692483,218.92885985517657,41960600
223.04795837402344,223.67327566716008,221.1025352094067,222.9288560878089,46414000
224.36807250976562,225.14226768918678,221.98592068094572,222.25391598005478,44340200
224.2092742919922,224.30853630427512,221.38047353975193,224.04054098731652,40687800
224.8246612548828,225.4797542015927,223.7725505409132,224.09017687092657,30299000
224.7154541015625,226.2836998547364,223.37550792716294,224.83457153469638,34765500
222.85939025878906,226.64103964823346,222.23407290784718,226.09512887719345,43695300
225.15220642089844,226.5219434569281,222.66088738350675,223.9809934126029,38677300
225.48965454101562,225.58891654674125,222.22414052811973,225.0727813784282,30602200
226.33335876464844,227.147264886192,223.21672230373292,224.31846403822652,35934600
224.8048095703125,228.149730282918,224.00082364270057,226.22416240429726,38052200
228.08023071289062,231.18694665641485,227.17701311839377,228.38793686624163,51906300
227.29611206054688,228.68568922028223,225.78741746908054,228.4772602189495,52990800
221.1124725341797,227.29611365629745,219.52437135882835,226.84946493362216,50190600
219.20675659179688,220.1298295937355,215.86182100754215,220.01072730838987,43840200
220.72537231445312,223.80229748015876,219.87177059333374,219.9809527371486,36615400
219.17698669433594,223.56409767944487,218.13479623481732,222.28368749781316,48423000
219.2663116455078,219.62363365317324,215.0975649862482,219.17698492990527,67180000
218.4722900390625,219.83209181891954,215.11743380788891,217.29114171411052,51591000
221.0032958984375,221.43008920211523,216.26878297144034,219.81222755985956,44587100
221.1124725341797,221.88666769221828,218.18442519080247,220.8444772424724,37455600
220.84449768066406,222.37303270856336,220.25889118684435,221.9164638014437,36766600
214.71046447753906,215.6037619118882,212.32831274384958,214.9288136198369,59357400
215.17697143554688,215.28615358843467,212.904016801209,214.14471619981742,45519300
219.04795837402344,221.05293280374121,215.92138686335736,215.9313221513165,59894900
227.16708374023438,228.11002736409566,222.95864123060412,223.31596324984213,66781300
226.50205993652344,231.35567496568984,225.9263736470506,228.25889437635817,318679900
224.78494262695312,227.742765583781,224.12984974700805,225.64846451262724,54146000
225.67823791503906,227.64351653597865,224.05044101841318,226.94871280288095,43556100
224.6856689453125,225.59882178569194,222.35316341740713,223.25638097071698,42308700
225.8271484375,226.79985253593196,223.73284722402752,225.608784129346,36636700
226.09512329101562,227.81226214161182,225.6087788258606,226.7601514881057,34026000
231.266357421875,231.266357421875,227.9412771261621,228.3283747151782,54541900
224.52688598632812,227.9412778656533,222.07526286618742,227.81225543239978,63285000
225.09263610839844,225.67824256269316,221.360617941662,224.20925878310885,32880600
223.99090576171875,225.12242301224842,221.65839996957536,223.4648504260935,34044200
225.11248779296875,226.3035561118749,222.46235586119454,226.20429410810965,37245100
220.04052734375,224.01076551273388,219.68320530273118,222.8296172342201,39505400
224.09014892578125,224.29857792676054,221.58889489724396,222.63108533790577,31855700
227.83209228515625,228.0405364361267,223.15714569962594,223.55416342639623,33591100
227.3358154296875,227.7923994519787,225.47973405841245,226.0851959438118,28183500
225.85690307617188,227.7030642360917,225.64845893034402,227.59388209213523,31759200
229.5790252685547,230.00581860221664,226.89911753216435,226.99836439928595,39882100
232.11001586914062,235.7229313878213,230.64101708976466,231.8717961668827,64751400
230.05543518066406,230.3929017691756,228.12986736523644,229.87678174389526,34082200
230.42269897460938,232.11006236609234,228.80483716826546,231.6931740173152,32993800
233.25148010253906,234.4226930307779,232.26884075534687,234.4226930307779,46431500
234.720458984375,235.08771628667242,232.7055644739604,232.7055644739604,36254500
234.1050567626953,234.4623787465114,230.86931862526646,232.14971356587586,38846600
229.04298400878906,233.39039869163489,226.06530603867623,232.33828823210223,52287000
228.8544464111328,229.10258628095696,226.71051430099084,228.26882480795348,31109500
229.68820190429688,231.484732210271,227.86189602437614,228.03062932515897,38802300
231.66339111328125,232.98349712196287,230.81972458948547,231.58399967772363,36087100
231.93138122558594,232.5864741436605,230.59143496071306,231.36563017470797,35417200
228.38795471191406,231.73287549326048,227.8420439394486,230.8792736886572,47070900
224.22909545898438,228.11992645086093,223.69310490697208,227.63356689740596,64370100
221.2514190673828,223.67326642200996,218.6310628621847,219.32585141181025,65276700
220.3581085205078,221.13230364643434,218.07523400035532,219.34570882983752,44944500
221.78741455078125,222.28369429475046,219.49460455688452,220.14969745378525,28111300
221.0628662109375,224.3879467919736,219.54425129715867,220.95368405362794,54561100
225.78741455078125,226.18444740932767,222.8990781242877,222.95862926675593,42137700
225.51913452148438,227.2083389148385,224.9726232043034,225.72779283046052,38328800
222.8064727783203,224.26714170400084,220.0938084143074,223.57158868270503,42005600
222.8064727783203,224.15783943194586,221.9420008205612,223.12444853772337,40398300
223.69081115722656,225.21109667354565,221.3457931121334,222.5878574334345,48566200
226.77114868164062,227.41701609796436,223.57158960851197,223.59146688403666,44923900
223.5715789794922,225.4793879673537,222.84621765747355,224.96268496170848,47923700
226.57240295410156,228.28148462394066,223.7404903183321,223.81998425203597,44633700
226.8307647705078,228.6988344551977,225.22105418122663,225.53901477922054,36211800
227.54620361328125,228.4702922716314,224.45594670445817,226.61216873586113,35169600
227.06924438476562,228.69883223369175,224.2770861035494,227.42695953023323,42108300
228.41065979003906,229.25526960886552,226.6121530455377,226.6121530455377,38168300
231.39161682128906,231.7692092379923,228.28149797848934,229.99057974831032,90152800
233.56773376464844,234.07450576495518,231.8487208075284,231.8487208075284,45986200
233.43853759765625,234.1937224347506,232.32565277909848,232.9814664022851,33498400
235.8233184814453,236.3002669685808,232.48464874765904,233.31931239062584,28481400
238.06893920898438,239.26131787624368,235.65437354492806,235.76367580720535,48137100
241.10952758789062,241.21882985808793,237.3833345065081,238.28756099978403,38861000
241.46722412109375,242.560246738831,239.71840309463144,241.32811352991968,44383900
241.49705505371094,242.98753231090083,240.59284370740727,242.4410361127995,40033900
241.29833984375,243.0769846168902,240.5431701206591,241.36790273028285,36870600
245.18350219726562,245.67039687977774,240.21524480725012,240.29473874492055,44649200
246.19703674316406,246.63424582967986,243.7824557106041,245.32261857013248,36914800
244.9251708984375,249.20780656351602,244.69662013013263,246.3858398593606,45205800
246.3858184814453,247.1608653940442,244.1202792424049,245.32260415969785,32777500
246.55474853515625,247.70737273801882,244.67674782957272,246.24671899982582,33155300
249.44627380371094,249.7841268474892,246.07779571830554,246.4156487620838,51694800
251.87075805664062,252.2185421189052,248.19425082976375,248.49234928857376,51356400
246.4752655029297,252.6657103008961,246.1672359539693,250.55917390522964,56774100
248.20419311523438,250.400169527173,245.5213371883983,245.92873792847348,60882300
252.8743896484375,253.3811464831127,244.13025293349912,246.4653249902114,147495300
253.6494140625,254.02699130961165,251.84096111600803,253.15258832932108,40858800
256.56085205078125,256.5707679464462,253.6693071300515,253.86804957710976,23234700
257.3755798339844,258.44874034869076,255.99442012888886,256.55086249805703,27237100
253.96739196777344,257.05766400729357,251.45345479939442,256.19316170058187,42355300
250.59889221191406,251.8906421270002,249.15810064436016,250.6287005424076,35557500
248.8302001953125,251.6720440162376,247.84647977817443,250.83738041728796,39480700
242.3019256591797,247.51859606258614,240.28481431614935,247.34966196417784,55740700
241.8150177001953,242.6298040057451,240.3543488544026,241.8150177001953,40244100
243.44461059570312,245.75982034447205,241.65603491404494,242.75898865424097,45045600
240.67234802246094,243.9911405526811,239.81780708502322,241.4374487975533,40856000
241.1592254638672,242.1628232218062,238.52605495049286,240.38417847646193,37628900
235.3463592529297,238.63534322792128,231.52079498772144,238.48628640867517,61710900
232.91189575195312,233.180185891021,228.26161420500546,232.04742383507855,49630700
231.79901123046875,234.62097773623856,230.9941559742804,233.2596800887061,39435300
236.35987854003906,237.4429702030776,232.94171493841435,233.1503884256181,39832000
226.81088256835938,236.49898454969573,226.58234697208553,235.84318609247865,71759100
228.51995849609375,230.81529094249188,227.0294813062853,230.64637201374376,68488300
221.22657775878906,222.99527628303537,217.9872792040061,222.57794445660952,98070400
222.40902709960938,222.6971793763667,218.39466636780546,218.39466636780546,64126500
222.24008178710938,225.5886822440662,220.88871524000126,223.3132271476291,60234800
221.3656768798828,224.19758968028435,220.00437919561992,223.35297985225768,54697900
228.40072631835938,230.67618150163648,222.5580508531902,222.5978054024586,94863400
236.7473907470703,238.66514594376807,229.3446904229109,229.38444497187513,75707600
237.84042358398438,238.33724933385383,232.52438199561368,232.6336842670617,45486100
236.0816650390625,239.26134692510684,235.7040877651042,237.1548105184623,55658300
234.50172424316406,245.6206855431428,231.95797915185673,245.6206855431428,100959800
226.56246948242188,230.35822543026035,224.2671369795404,228.52991033796462,73063300
231.3220672607422,231.64997406812495,225.21110156992967,225.80729852188347,45067300
230.99415588378906,231.19288314320298,226.82082278842498,227.07916670947125,39620300
231.73941040039062,232.31573010563136,228.96711414866223,229.8216550685821,29925300
226.1848907470703,232.51444580894437,225.81722939017394,231.1233398047693,39707200
226.45346069335938,229.378010419489,226.00582893863492,228.36338248973718,33115600
231.3973388671875,233.99362125199642,226.93094812871882,227.000572314181,53718400
235.62501525878906,235.71455375787428,229.4675472393098,229.98481838871234,45243300
240.26052856445312,241.06626881430705,234.33186254170715,235.66481592241834,53614100
243.3143768310547,244.25938055012708,239.7233505557091,239.9819785190441,40896200
243.18507385253906,243.8913336127375,240.56889220053384,242.86674847770814,48822500
243.5829620361328,244.716969605811,241.88195827091008,243.37407429304395,32204200
244.5379180908203,245.4829218502696,243.00600383864503,243.65259654249155,32316900
244.2593994140625,247.38289505871285,243.93113206298463,244.65729095432025,53197400
245.80123901367188,247.551982922016,243.1353173033831,243.64263125957103,51326400
245.7415313720703,248.68598005449408,243.62273714344562,246.6964922140581,48013300
239.0966796875,243.69239232640413,237.87314875998453,243.04581476744292,44433600
236.05274963378906,241.1856322165831,235.81400561415145,238.15166004001364,41153600
240.5688934326172,240.8175794410065,228.9900734891547,235.70459571566596,56833400
236.77890014648438,242.7473638198223,234.8689935924468,240.51913191748446,47184000
234.68994140625,238.80819608105105,233.44651142335266,236.46059966619734,53798100
234.5009307861328,235.3066709108408,228.025138328793,234.1826054546699,47227600
234.09310913085938,236.60981025581015,231.93451645578955,233.20778757123546,45170400
237.81344604492188,240.10134501237943,233.5260868229449,233.8742532807345,46273600
226.28436279296875,234.91874867921032,223.04150278970278,234.3019970725287,72071200
219.67926025390625,224.65298022983382,216.30707871737093,222.63365113389432,76137400
215.8395538330078,220.58448707211764,213.7804415985268,218.98294858814833,62547500
208.5779266357422,215.70029772842102,207.3245545879158,214.81497612462363,61368300
212.36790466308594,212.8254784087618,208.4784519318959,210.13967261110687,60107600
212.87522888183594,214.08881784956162,208.86641153353526,212.18885305172668,48073400
211.57211303710938,214.019174884069,210.3784232206469,213.0343879953175,42432400
214.10870361328125,217.6101915579757,212.6265295918345,213.0940604852241,54385400
212.97470092773438,216.3468825511506,211.10457731145533,212.86527847830126,48862900
217.12277221679688,217.68976839110027,210.16950634984832,210.4480334492585,94127800
219.56983947753906,220.3158974796034,217.4311459430569,219.8384246082871,44299500
222.57398986816406,222.92215637067883,218.9232808837126,219.60965673355645,34493600
220.3656463623047,223.83730853242594,219.3112201065871,222.33523531503357,34466100
222.67344665527344,223.80745418869535,219.40073045135125,220.22636977863218,37094800
216.7547149658203,222.6336557419088,216.5358700680628,220.504904155295,39818600
220.9624786376953,224.4341253115235,215.09348022110552,215.86937928840504,65299300
222.0169219970703,222.50433685640354,217.749461617725,218.65468232589998,36412700
222.71324157714844,224.00641185945875,219.8583310514353,220.15675729790527,35905900
202.12203979492188,206.39944211542388,200.19223396809613,204.4596791341039,103419000
187.389892578125,198.82944937179326,186.35535024633944,192.87092693410324,125910900
180.50625610351562,193.12954493623218,173.70219548773406,176.26863687444822,160466300
171.51376342773438,189.33957458197378,168.32064359895526,185.71870692843436,120859500
197.8048553466797,199.55559936553783,170.98654976711688,171.04623198001363,184395900
189.41915893554688,193.7562435722064,182.0381599544528,188.0762635840202,121880000
197.1085205078125,198.49121408156802,185.0820690088969,185.12186726950821,87435900
201.45555114746094,211.82078139531484,200.10269875392328,210.32866545443895,101352900
201.07754516601562,202.44033954558066,198.74984792281177,200.7990180691496,51343900
193.24893188476562,199.64512887500646,191.35890907242805,197.31743142832593,59732400
195.9446563720703,197.78493872612725,193.39811432307044,196.16350125239885,52164700
192.14476013183594,192.78139570274652,188.8123615658979,192.25418258208256,46742500
